Player Id,This week,Last week,End 2021,Ctry,Full Name,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date
18417,1,1,12,USA,Scottie Scheffler,Scottie, Scheffler,8.2178,427.33,52,-55.95,219.78,58,14,3rd April 2022
19195,2,2,1,ESP,Jon Rahm,Jon, Rahm,8.0640,379.01,47,-108.71,87.31,47,14,3rd April 2022
22085,3,3,2,USA,Collin Morikawa,Collin, Morikawa,7.6654,398.60,52,-100.00,60.73,52,14,3rd April 2022
18841,4,4,8,NOR,Viktor Hovland,Viktor, Hovland,7.4828,389.10,52,-66.43,127.97,59,14,3rd April 2022
15466,5,5,4,USA,Patrick Cantlay,Patrick, Cantlay,6.9456,277.82,40,-59.90,79.24,40,14,3rd April 2022
15856,6,6,21,AUS,Cameron Smith,Cameron, Smith,6.8581,308.62,45,-48.07,158.34,45,14,3rd April 2022
14139,7,7,7,USA,Justin Thomas,Justin, Thomas,5.6527,276.98,49,-86.52,63.92,49,14,3rd April 2022
12422,8,8,3,USA,Dustin Johnson,Dustin, Johnson,5.4906,236.10,43,-93.12,44.41,43,14,3rd April 2022
10091,9,9,9,NIR,Rory McIlroy,Rory, McIlroy,5.4137,254.44,47,-64.34,42.26,47,14,3rd April 2022
19895,10,10,6,USA,Xander Schauffele,Xander, Schauffele,5.2749,258.47,49,-77.22,48.19,49,14,3rd April 2022
19483,11,11,11,USA,Sam Burns,Sam, Burns,5.1623,268.44,52,-45.09,69.53,52,14,3rd April 2022
13562,12,12,18,JPN,Hideki Matsuyama,Hideki, Matsuyama,4.9647,258.16,52,-57.22,70.91,53,14,3rd April 2022
11276,13,13,23,USA,Billy Horschel,Billy, Horschel,4.4009,228.85,52,-50.21,63.05,54,14,3rd April 2022
7672,14,15,10,RSA,Louis Oosthuizen,Louis, Oosthuizen,4.3731,183.67,42,-55.90,11.60,42,14,3rd April 2022
18238,15,16,17,MEX,Abraham Ancer,Abraham, Ancer,4.2800,222.56,52,-60.93,32.36,58,14,3rd April 2022
14796,16,18,22,ENG,Tyrrell Hatton,Tyrrell, Hatton,4.2470,199.61,47,-59.83,66.77,47,14,3rd April 2022
16243,17,19,16,USA,Brooks Koepka,Brooks, Koepka,4.2353,194.82,46,-45.52,45.29,46,14,3rd April 2022
14636,18,17,14,USA,Jordan Spieth,Jordan, Spieth,4.2121,206.39,49,-46.51,32.42,49,14,3rd April 2022
19841,19,14,5,USA,Bryson DeChambeau,Bryson, DeChambeau,4.1927,188.67,45,-79.45,4.45,45,14,3rd April 2022
18079,20,20,31,CHI,Joaquin Niemann,Joaquin, Niemann,4.1450,215.54,52,-39.34,95.42,55,14,3rd April 2022
17606,21,22,19,USA,Daniel Berger,Daniel, Berger,4.0096,168.40,42,-56.02,38.11,42,14,3rd April 2022
11676,22,23,15,USA,Tony Finau,Tony, Finau,3.9266,204.18,52,-63.30,14.84,56,14,3rd April 2022
14577,23,21,13,USA,Harris English,Harris, English,3.9218,180.40,46,-58.51,2.73,46,14,3rd April 2022
17646,24,24,24,ENG,Matt Fitzpatrick,Matt, Fitzpatrick,3.8702,201.25,52,-51.96,39.74,54,14,3rd April 2022
7108,25,25,28,ENG,Paul Casey,Paul, Casey,3.8061,178.89,47,-43.87,46.60,47,14,3rd April 2022
17488,26,26,26,KOR,Sungjae Im,Sungjae, Im,3.8052,197.87,52,-56.98,36.12,68,14,3rd April 2022
11328,27,27,42,USA,Kevin Kisner,Kevin, Kisner,3.6587,186.59,51,-34.53,98.34,51,14,3rd April 2022
