Player Id,This week,Last week,End 2021,Ctry,Full Name,First Name, Last Name,avg_pts,Total pts,Events played (divisor),points lost,points gained,Events played (actual),Week, Weekend date
18417,1,5,12,USA,Scottie Scheffler,Scottie, Scheffler,8.2948,431.33,52,-51.64,219.78,58,13,27th March 2022
19195,2,1,1,ESP,Jon Rahm,Jon, Rahm,8.2178,386.24,47,-101.48,87.31,47,13,27th March 2022
22085,3,2,2,USA,Collin Morikawa,Collin, Morikawa,7.8073,405.98,52,-92.60,60.73,53,13,27th March 2022
18841,4,3,8,NOR,Viktor Hovland,Viktor, Hovland,7.5779,394.05,52,-61.16,127.97,59,13,27th March 2022
15466,5,4,4,USA,Patrick Cantlay,Patrick, Cantlay,7.0482,281.93,40,-55.79,79.24,40,13,27th March 2022
15856,6,6,21,AUS,Cameron Smith,Cameron, Smith,6.7845,312.09,46,-44.60,158.34,46,13,27th March 2022
14139,7,7,7,USA,Justin Thomas,Justin, Thomas,5.6536,282.68,50,-80.82,63.92,50,13,27th March 2022
12422,8,11,3,USA,Dustin Johnson,Dustin, Johnson,5.6434,242.67,43,-86.55,44.41,43,13,27th March 2022
10091,9,8,9,NIR,Rory McIlroy,Rory, McIlroy,5.6279,258.88,46,-59.90,42.26,46,13,27th March 2022
19895,10,9,6,USA,Xander Schauffele,Xander, Schauffele,5.3801,263.62,49,-72.07,48.19,49,13,27th March 2022
19483,11,10,11,USA,Sam Burns,Sam, Burns,5.2277,271.84,52,-41.70,69.53,53,13,27th March 2022
13562,12,12,18,JPN,Hideki Matsuyama,Hideki, Matsuyama,5.0418,262.18,52,-53.20,70.91,53,13,27th March 2022
11276,13,16,23,USA,Billy Horschel,Billy, Horschel,4.4691,232.39,52,-46.67,63.05,54,13,27th March 2022
19841,14,13,5,USA,Bryson DeChambeau,Bryson, DeChambeau,4.4168,194.34,44,-73.78,4.45,44,13,27th March 2022
7672,15,14,10,RSA,Louis Oosthuizen,Louis, Oosthuizen,4.3583,187.41,43,-52.16,11.60,43,13,27th March 2022
