"NAME","TOTAL","THRU","TODAY","R1","R2","R3","R4","TOTAL"
"Hideki Matsuyama",-10,"F",1,69,71,65,73,278
"Will Zalatoris",-9,"F",-2,70,68,71,70,279
"Jordan Spieth",-7,"F",-2,71,68,72,70,281
"Xander Schauffele",-7,"F","E",72,69,68,72,281
"Jon Rahm",-6,"F",-6,72,72,72,66,282
"Marc Leishman",-6,"F",1,72,67,70,73,282
"Justin Rose",-5,"F",2,65,72,72,74,283
"Patrick Reed",-4,"F",-3,70,75,70,69,284
"Corey Conners",-4,"F",2,73,69,68,74,284
"Cameron Smith",-3,"F",-2,74,68,73,70,285
"Tony Finau",-3,"F","E",74,66,73,72,285
"Brian Harman",-2,"F",2,69,69,74,74,286
"Robert MacIntyre",-2,"F","E",74,70,70,72,286
"Kevin Na",-2,"F",-1,75,70,70,71,286
"Stewart Cink",-2,"F",-1,74,69,72,71,286
"Webb Simpson",-2,"F",-2,70,76,70,70,286
"SiWoo Kim",-2,"F","E",71,69,74,72,286
"Tyrrell Hatton",-1,"F",-4,71,74,74,68,287
"Collin Morikawa",-1,"F",-2,73,69,75,70,287
"Scottie Scheffler",-1,"F",-1,73,72,71,71,287
"Harris English","E","F",-2,74,71,73,70,288
"Shane Lowry","E","F","E",71,73,72,72,288
"Phil Mickelson","E","F","E",75,72,69,72,288
"Justin Thomas","E","F",1,73,67,75,73,288
"Viktor Hovland","E","F",1,73,70,72,73,288
"Matt Jones",1,"F","E",74,69,74,72,289
"Charl Schwartzel",1,"F","E",74,71,72,72,289
"Bubba Watson",1,"F","E",74,70,73,72,289
"Ian Poulter",1,"F",-2,74,73,72,70,289
"Cameron Champ",1,"F","E",72,68,77,72,289
"Louis Oosthuizen",1,"F",-1,76,70,72,71,289
"Abraham Ancer",1,"F",-2,75,69,75,70,289
"Paul Casey",1,"F",-3,73,74,73,69,289
"Michael Thompson",2,"F",-1,72,72,75,71,290
"Matt Fitzpatrick",2,"F",1,74,70,73,73,290
"Matt Wallace",2,"F",1,74,72,71,73,290
"Ryan Palmer",2,"F",3,74,68,73,75,290
"Martin Laird",3,"F",2,74,71,72,74,291
"Henrik Stenson",3,"F",4,73,71,71,76,291
"Bernd Wiesberger",4,"F",6,74,66,74,78,292
"Joaquin Niemann",4,"F",4,75,71,70,76,292
"Mackenzie Hughes",4,"F",4,72,72,72,76,292
"Sebastian Munoz",4,"F",2,74,73,71,74,292
"Gary Woodland",4,"F","E",73,72,75,72,292
"Christiaan Bezuidenhout",4,"F","E",70,76,74,72,292
"Brendon Todd",5,"F",1,73,71,76,73,293
"Bryson DeChambeau",5,"F",3,76,67,75,75,293
"Tommy Fleetwood",5,"F",4,74,70,73,76,293
"Jason Kokrak",7,"F",5,71,76,71,77,295
"Jose Olazabal",8,"F",3,75,71,75,75,296
"Billy Horschel",8,"F",4,76,71,73,76,296
"Francesco Molinari",9,"F",9,74,73,69,81,297
"Jim Herman",10,"F",4,76,70,76,76,298
"Adam Scott",11,"F",1,74,73,79,73,299
"Jimmy Walker",4,"F",,75,73,,,148
"Matt Kuchar",4,"F",,78,70,,,148
"Max Homa",4,"F",,74,74,,,148
"Sergio Garcia",4,"F",,76,72,,,148
"Daniel Berger",4,"F",,75,73,,,148
"Mike Weir",5,"F",,78,71,,,149
"Lanto Griffin",5,"F",,76,73,,,149
"Danny Willett",5,"F",,76,73,,,149
"Kevin Kisner",5,"F",,72,77,,,149
"Brooks Koepka",5,"F",,74,75,,,149
"Dustin Johnson",5,"F",,74,75,,,149
"Lee Westwood",5,"F",,78,71,,,149
"C.T. Pan",6,"F",,79,71,,,150
"Dylan Frittelli",6,"F",,76,74,,,150
"Robert Streb",6,"F",,75,75,,,150
"Rory McIlroy",6,"F",,76,74,,,150
"Victor Perez",7,"F",,78,73,,,151
"Zach Johnson",7,"F",,77,74,,,151
"Bernhard Langer",7,"F",,74,77,,,151
"Brian Gay",8,"F",,78,74,,,152
"Charles Osborne",8,"F",,76,76,,,152
"Patrick Cantlay",8,"F",,79,73,,,152
"Carlos Ortiz",9,"F",,82,71,,,153
"Ian Woosnam",9,"F",,76,77,,,153
"Jason Day",9,"F",,77,76,,,153
"Joe Long",10,"F",,82,72,,,154
"Hudson Swafford",12,"F",,73,83,,,156
"Sandy Lyle",12,"F",,81,75,,,156
"Fred Couples",13,"F",,79,78,,,157
"Sungjae Im",13,"F",,77,80,,,157
"Vijay Singh",15,"F",,79,80,,,159
"Ty Strafaci",17,"F",,80,81,,,161
"Larry Mize",19,"F",,84,79,,,163
"Matthew Wolff",11,,,76,79,,,155
